丂	287
丄	4040
丅	7217
丆	744
丏	354
丒	570
丗	4824
丠	1026
両	1583
丣	58
丩	102
丮	18
丯	167
丱	163
丳	38
丵	42
丷	293
丼	950
乀	372
乁	1033
乂	1534
乄	2313
乆	550
乊	178
乑	38
乕	460
乗	1759
乚	205
乛	430
乢	158
乣	240
乤	96
乥	95
乧	559
乨	19
乪	20
乫	77
乬	101
乭	83
乮	33
乯	76
乲	25
乴	18
乵	22
乶	13
乷	98
乸	555
乹	68
乺	114
乻	59
乼	45
乽	84
乿	304
亀	1106
亁	301
亃	139
亄	32
亅	543
亇	766
亊	4582
亐	107
亖	195
亗	1275
亜	30006
亝	19
亣	370
亪	48
亯	36
亰	1410
亱	587
亴	136
亶	286
亷	178
亸	104
亹	189
亼	3220
亽	8394
亾	2406
仈	442
仌	274
仏	334
仐	116
仒	543
仚	166
仛	241
仜	40
仠	227
仢	25
仦	141
仧	232
仩	1112
仭	107
仮	2021
仯	1197
仱	78
仴	1404
仸	150
仹	115
仺	1311
仼	1257
仾	31
伀	317
伂	55
伃	162
伄	153
伅	403
伆	133
伇	119
伈	1078
伋	688
伌	25
伒	284
伓	122
伔	89
伖	545
伜	57
伝	10878
伡	131
伣	91
伨	52
伩	464
伬	469
伭	261
伮	167
伱	13527
伳	68
伵	22
伷	59
伹	92
伻	186
伾	610
伿	86
佀	750
佁	190
佂	9368
佄	40
佅	14
佉	310
佊	109
佋	56
佌	166
佒	32
佖	72
佡	398
佢	1601
佦	77
佨	94
佫	262
佭	72
佮	35
佱	401
佲	16927
佷	1948
佸	1392
佹	991
佺	2244
佽	781
侀	552
侁	50
侂	95
侅	108
侇	72
侊	159
侌	19
侎	80
侐	106
侒	807
侓	7769
侕	418
侘	645
侙	57
侜	54
侞	1152
侟	430
価	916
侢	434
侤	56
侫	237
侭	146
侰	121
侱	28
侲	130
侳	144
侴	198
侸	72
侹	82
侺	68
侻	245
侼	123
侽	1872
侾	97
俀	59
俆	2848
俇	49
俈	123
俉	177
俋	744
俌	35
俍	287
俒	10
俓	1242
俔	21
俕	40
俖	74
俙	174
俛	271
俢	1483
俤	572
俥	149
俧	181
俫	365
俬	4789
俰	27
俲	44
俴	125
俶	3476
俷	151
俹	94
俻	241
俼	67
俽	236
俿	71
倁	674
倂	111
倃	35
倄	26
倅	190
倇	20
倈	76
倊	16
倎	23
倐	74
倓	262
倕	90
倗	236
倛	247
倝	114
倞	447
倠	255
倢	743
値	1597
倧	71
倯	142
倰	115
倱	113
倲	1068
倳	346
倴	180
倵	514
倶	3485
倷	188
倸	264
倹	31
倻	543
倽	67
倿	74
偀	98
偁	1938
偂	474
偄	297
偅	156
偆	217
偊	301
偋	67
偍	258
偐	850
偑	699
偒	79
偓	574
偔	99
偖	260
偗	327
偘	25
偙	448
偛	414
偝	601
偞	87
偟	448
偠	501
偡	178
偢	122
偣	294
偤	55
偦	71
偧	35
偨	92
偩	83
偪	2
偫	4
偭	275
偮	87
偯	17
偰	232
偱	365
偲	4352
偳	56
偸	3448
偹	84
偼	225
傁	52
傂	41
傃	344
傄	6
傆	346
傇	49
傉	211
傊	27
傋	35
傌	143
傎	274
傏	206
傐	17
傒	259
傓	34
傔	194
傕	1387
傗	76
傛	942
傜	587
傝	453
傞	238
傟	60
傠	54
傡	19
傤	110
傦	61
傪	150
傫	1502
傮	45
傰	50
傱	22
傶	32
傷	3
傸	13
傹	145
傼	94
傽	72
傿	120
僀	274
僁	31
僃	95
僄	211
僆	112
僇	397
僈	161
僋	182
僌	67
働	2229
僎	117
僐	131
僒	81
僓	23
僔	145
僗	208
僘	37
僙	46
僛	35
僜	200
僝	156
僟	230
僠	138
僡	225
僢	134
僤	182
僥	1
僩	293
僪	128
僫	181
僯	65
僰	675
僲	43
僴	640
僶	85
僷	325
僸	308
僺	57
僼	107
僽	235
僾	1029
僿	125
儁	462
儃	429
儊	525
儌	201
儍	1879
儎	234
儏	1096
儑	121
儓	275
儖	329
儗	517
儙	78
儚	3304
儛	4038
儜	129
儝	6
儞	332
儠	73
儢	26
儣	65
儤	279
儥	15
儦	16
儧	89
儨	49
儩	18
儫	100
儬	186
儭	349
儮	46
儯	32
儰	246
儱	506
儳	133
儴	434
儵	281
儶	130
儹	551
儽	130
儾	89
兂	1569
兊	45
兎	1174
兏	43
児	2754
兒	1
兓	25
兘	897
兙	238
兛	17
兝	31
兞	9
兟	47
兠	177
兡	42
兣	78
兤	84
兦	731
內	1
兪	146
兯	956
兲	5677
兺	59
兾	37
兿	281
冃	287
冄	836
円	1975
冇	5051
冋	264
冎	54
冏	1906
冐	247
冓	115
冔	13
冘	53
冚	668
冝	165
冞	255
冟	46
冡	253
冣	111
冦	579
冧	1978
冨	3435
冩	1294
冭	2795
冮	1081
冴	2116
冸	202
冹	21
冺	47
冾	125
冿	403
凁	16
凂	221
凃	1305
凅	28
凊	1557
凎	131
凐	56
凒	15
凓	291
凔	134
凕	65
凖	848
凗	18
凘	160
凙	24
凚	25
凞	191
凟	44
凢	77
凣	319
凥	39
処	9225
凧	30
凨	207
凩	680
凪	6490
凬	62
凮	193
凲	38
凴	130
凷	22
凾	58
刄	156
刅	36
刉	12
刋	285
刌	16
刏	8
刐	21
刓	100
刔	4
刕	86
刜	11
刞	6
刟	16
刡	21
刢	15
刣	16
刦	17
刧	370
刬	413
刯	10
刱	19
刲	87
刴	30
刵	9
刼	151
刾	97
剅	94
剆	23
剈	11
剏	224
剒	19
剓	18
剕	240
剗	12
剘	235
剙	31
剚	23
剟	20
剠	42
剢	30
剣	4090
剤	366
剦	60
剨	276
剫	39
剬	24
剭	33
剰	403
剱	52
剳	258
剶	11
剸	11
剹	1451
剺	40
剻	26
剼	68
剾	28
劀	22
劅	207
劆	21
劋	52
劎	25
劏	67
劒	1160
劔	52
劕	15
劖	191
劗	30
劘	25
劙	69
劚	75
劜	15
劤	75
劥	34
劦	190
劧	70
劮	138
劯	48
劰	22
労	398
劵	98308
劶	3
劷	40
劸	23
効	1054
劺	101
劻	478
劼	7692
劽	131
勀	247
勂	59
勄	230
勅	501
勆	38
勈	10
勊	54
勌	6
勍	807
勎	7
勏	55
勑	70
勓	5
勔	103
動	2
勗	1414
勚	6
勜	12
勠	21
勡	9
勥	204
勧	55
勨	19
勩	26
勪	419
勫	1409
勬	1575
勭	678
勮	778
勯	356
勲	226
勴	4
勶	57
勷	102
勼	262
勽	12
匁	19
匂	280
匃	16
匄	72
匇	11
匉	12
匊	171
匌	10
匎	239
匑	25
匒	6
匓	26
匔	16
匘	44
匛	119
匜	167
匞	35
匟	25
匢	51
匤	156
匥	40
